ciming	['慈铭', '慈铭体检', '慈铭体检中心', '刺明', '慈铭体检电话', '慈铭体检官网', '慈铭体检报告', '赐名', '慈铭体检怎么样', '慈铭体检中心电话']
五台云	['五台云养生素食馆', '五台云海镁厂招工吗', '五台云驿站', '五台云企业大学', '五台云海大酒店老板']
川成元	['川成元 麻辣香锅', '川成元沙漏是什么意思', '川成元 麻辣香锅底料', '川成元麻辣香锅做法', '川成元麻辣香锅菜单', '北京川成元', '川成元麻辣香锅地址', '川成元麻辣香锅(建外店)怎么样', '川成元麻辣香锅(西直门店)怎么样']
川渝小馆	['川渝小馆(北大街店)怎么样', '川渝小馆(北大街店)', '川渝小馆(银河soho店)怎么样', '川渝小馆(平阳路店)怎么样', '川渝小馆电话明光桥北大街', '川渝小馆(祁家豁子街)怎么样', '川渝小馆电话明光桥']
nongtangli	['弄堂里', '弄堂里搬木头的歇后语', '杭州弄堂里', '弄堂里加盟', '弄堂里搬木头下一句', '弄堂里必点菜', '弄堂里跑马歇后语', '弄堂里餐厅', '弄堂里菜单', '弄堂里地址']
CECEP	['cecep 中国节能', 'cecep是什么意思', '测测配偶何时出现', '测测排卵期最准确', '雌二醇e2偏低吃什么药', '雌二醇estrdl偏高']
Tai_Shu_Xi	['太熟悉家常菜', '太熟悉你的关怀 分不开', '太熟悉家常菜电话', '太熟悉了肿么破', '太熟悉你的关怀', '太熟悉家常菜惠新店', '太叔喜欢宁舒吗', '太熟悉的人能谈恋爱吗', '太熟悉你的关怀什么歌', '太熟悉右安门']
yunhaiyao	['云海肴', '云海肴菜单', '云海肴创始人', '云海肴特色菜必点菜', '云海肴加盟', '云海肴汽锅鸡', '云海肴云南菜', '云海肴北京有多少家店', '云海谣', '云海肴官网']
yunledi	['云乐迪私影汇', '云乐迪私影汇枫蓝国际', '云乐迪私人影院', '云乐迪私影汇多少钱', '云乐迪 摄像头']
shuimumicheng	['水木迷城密室逃脱', '水木迷城密室逃脱攻略', '水木迷城密室逃脱怎么样', '水木迷城密室逃脱(中关村旗舰店)怎么样', '水木迷城密室逃脱(四季青店)怎么样', '水木迷城狼人杀桌游VR游戏馆怎么样', '水木迷城真人密室逃脱怎么样', '水木迷城密室逃脱(明光桥店)怎么样', '水木迷城密室逃脱(大悦城南店)怎么样', '水木迷城密室逃脱答案']
Sizzler	['sizzler餐厅', 'sizzler 只想吃沙拉']
xizhimenbinguan	['西直门宾馆电话', '西直门宾馆不对外营业', '西直门宾馆地址', '西直门宾馆预定', '西直门宾馆多少钱', '西直门宾馆官方网站', '西直门宾馆到301医院', '西直门宾馆附近地铁站', '西直门宾馆什么级别', '西直门宾馆附近的饭店']
ROUCHUANWANGZONGDIAN	['肉串汪总店怎么样']
tangchaoKTV	['糖潮ktv', '唐朝ktv', '糖潮ktv价格', '糖潮ktv团购', '糖潮ktv电话', '糖潮ktv中关村店', '糖潮ktv交大东路', '万达糖潮ktv', '嵩县糖潮ktv', '唐山万达广场糖潮ktv']
BJSFRBG	['北京市丰瑞宾馆']
汤城小厨	['汤城小厨菜单及价格表', '汤城小厨官网', '汤城小厨菜单', '汤城小厨怎么样', '汤城小厨金宝街店电话', '汤城小厨 金宝街', '汤城小厨中关村店', '汤城小厨慈云寺店电话', '汤城小厨方庄店电话', '汤城小厨旗下品牌']
tpyzq	['太平洋证券股吧', '太平洋证券官网', '太平洋证券app下载', '太平洋证券股份有限公司', '太平洋证券电话', '太平洋证券', '太平洋证券股票', '太平洋证券交易软件', '太平洋证券今天是什么价位', '太平洋证券 新浪']
京味斋	['京味斋烤鸭店', '京味斋电话', '京味斋菜单', '京味斋地址', '京味斋劲松店', '京味斋烤鸭店怎么样', '京味斋北洼路店电话', '京味斋怎么样', '京味斋月坛店电话', '京味斋亚运村鸟巢店']
bianjinggongheguo	['边境共和国(荟聚购物中心)怎么样', '边境共和国餐厅云海肴', '边境共和国东南亚小吃联盟怎么样', '边境共和国(荟聚购物中心)', '边境共和国(美罗城店)怎么样', '边境共和国天津大悦城', '边境共和国餐厅怎么样']
BNU	['bnuz', 'bnuz教务', 'bnuz教务 教务管理系统', '不二', 'bnu大学', 'bnu包', 'bnugg', 'bnuz网络教学综合平台', 'bnu包包是什么牌子', 'bnuz教务处']
