tingyun	['婷婷', 'sting', '听书', '听说', '听雪楼', '停电', '停止编号', '听海', '听风者', '听妈妈的话']
xibeihanzi	['西北航空', '西北航空大学', '西贝海鲜', '西北汉子', '西北汉子的性格特点', '西北航天航空大学', '西北航空公司', '西北行攻略', '西贝海鲜汇', '西贝海鲜汇槐安路店']
helijia	['合力', 'helicopter', '何立峰', '赫莲娜', '鹤立鸡群', 'helio', 'helios', 'helium', '合力泰', '河流']
huajiayiyuan	['花家怡园', '花家怡园四合院', '花家怡园菜单', '花家怡园东直门店', '花家怡园圆明园店', '花家怡园惠新店', '花家怡园融科店', '花家怡园金融街店', '花家怡园清华西路店', '花家怡园四季青店']
Homeinns	['homeinn', 'homie', 'homeie是什么意思', 'homeinn什么意思', '红霉素', 'homeis', 'homein', 'homeic', 'homeins', '红玫瑰']
wennuandelvtu	['温暖的旅程作文600字', '温暖的旅程', '温暖的李免费漫画', '温暖的李', '温暖的旅程作文500字', '温暖的旅程800字', '温暖的旅程作文800字', '温暖的李漫画百度网盘', '温暖的旅行600字作文', '温暖的离别']
24小时自助图书馆	['24小时自助图书馆', '24小时自助银行', '24小时自助银行可以办卡吗', '24小时自助下单平台', '24小时自助银行可以存钱吗', '24小时自助洗车', '24小时自助图书馆书籍多吗', '24小时自助便利店', '24小时自助法院', '24小时自助图书馆怎么使用']
lanhuhui	['蓝湖', '兰花', '兰花草', '兰花指', '蓝狐', '兰花蟹', '蓝环章鱼', '蓝灰色', '蓝琥珀柯北辰', '蓝胡子']
HaiDiLaoHuoGuo	['海底捞火锅', '海底捞火锅加盟', '海底捞火锅价格表', '海底捞火锅底料', '海底捞火锅加盟费多少', '海底捞火锅成立时间', '海底捞火锅学生证69折时间', '海底捞火锅怎么样', '海底捞火锅蘸料怎么配', '海底捞火锅图片高清']
wanglaoliu	['王老吉', '王老菊', '王老板', '王老五', '王老师', '王老吉吉悠', '王老六', '王老吉和加多宝是怎么回事', '王老虎抢亲', '王老七']
Starbucks	['starbur中文什么意思', 'starbur', 'starbucks', '星巴克', 'star布鞋', 'starbus是什么意思', 'starbur是什么意思', 'starbux', 'starbug', 'starbur什么品牌']
shikongtang	['时空偷渡少女', '时空特战队', '是空调费电还是风扇费电', '时空特警满座衣冠胜雪', '时空偷渡之洪荒 小说', '时空头号玩家', '时空特警', '时空泰运回馈', '时空偷猎者txt下载']
salahuaer	['撒拉花儿西域美食', '撒拉花儿', '撒拉花儿是什么意思', '萨拉花西坝河店', '撒拉话翻译', '萨拉花饭店', '撒拉花是什么意思', '撒拉话是什么话', '撒拉花儿太阳宫电话']
siyeniula	['四爷您又被套路了', '四爷牛拉', '四爷你被套路', '思也念卿', '肆野宁洛云', '四爷年妃', '四爷牛拉总店在哪', '四爷牛拉创始人', '撕夜聂小雨', '四爷牛拉 董事长']
beiwaiqingshao	['北外青少', '北外青少英语', '北外青少英语校区', '北外青少英语校区电话', '北外青少校区', '北外青少官网', '北外青少英语培训中心怎么样', '北外青少英语app安卓', '北外青少英语官网平台', '北外青少英语费用']
SunnyDental	['sunny的男朋友']
MeiNianDaJianKang	['美年大健康', '美年大健康体检中心官网查看报告', '美年大健康体检中心', '美年大健康体检中心报告查询app', '美年大健康体检可信吗', '美年大健康体检中心电话', '美年大健康体检中心怎么样', '美年大健康招聘', '美年大健康体检套餐', '美年大健康体检中心客服电话']
muwushaokao	['木屋烧烤', '木屋烧烤创始人', '木屋烧烤加盟费多少', '木屋烧烤官网', '木屋烧烤菜单', '木屋烧烤营业时间', '木屋烧烤老板', '木屋烧烤店', '木屋烧烤几点海鲜半价']
4008190099	['4008190099', '4008190488', '4008190518', '4008190770443', '4008190909', '4008190988', '4008190186']
menggongfang	['梦工坊', '梦工坊咖啡吧', '梦工坊影城', '梦工坊app', '勐拱翡翠官网', '梦工坊咖啡', '勐拱翡翠', '梦工坊影城蔡塘', '梦工坊青年', '梦工坊技术']
saboten	['萨博', 'sabotage', '萨博尼斯', 'sabon', '萨博汽车', 'saboteur', 'sabor', '萨博班', '萨博95']
Pandabrew	['盼达不退押金', '盼达不退押金怎么处理', 'pandas', 'panda包', 'panda包包官网', '盼达北碚网点', '盼达爆胎', '潘达蹦床主题公园门票', '盼达不退钱咋办', 'panda冰箱怎么样']
OrangeHotel	['orange后面加es还是s']
PizzaHut	['pizza怎么读音发音', 'pizza hut', 'pizza什么意思', 'pizza怎么读', 'pizza做法', 'pizza游戏', '披萨怎么做', 'pizzaisa', 'pizza币', 'pizza可数吗']
